"BushJob1.htm | Question 0"
"ABC News/Washington Post Poll. April 17-21, 2013. N=1,000 adults nationwide. Margin of error ± 3.5.        "
"Thinking back to when George W. Bush was in office, would you say you approve or disapprove of the way Bush handled his job as president?"
manually enter poll

highest lowest approval rows
['', 'Highest approval:']
['', '10/8-9/01', '92', '6', '1', '', '']
['.']
['', 'Lowest approval:']
['', '10/8-11/08', '23', '73', '4', '', '']





"BushJob1.htm | Question 1"
"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3."
"Do you approve or disapprove of the way George W. Bush is handling his job as president?"
date,approve,disapprove,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/12-15/09""",31,68,1,1245,3,a,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""12/19-21/08""",27,72,-,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""12/1-2/08""",28,71,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""11/6-9/08""",24,76,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/30 - 11/1/08""",28,71,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/17-19/08""",27,72,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/3-5/08""",24,74,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""9/19-21/08""",31,68,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""9/5-7/08""",28,70,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""8/29-31/08""",33,66,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""8/23-24/08""",30,68,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""7/27-29/08""",30,69,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""6/26-29/08""",30,68,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""6/4-5/08""",32,65,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""4/28-30/08""",28,71,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""3/14-16/08""",31,67,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""2/1-3/08""",32,67,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""1/14-17/08""",34,63,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""1/9-10/08""",32,66,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""12/6-9/07""",32,66,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""11/2-4/07""",34,65,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/12-14/07""",36,61,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""9/7-9/07""",36,61,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""8/6-8/07""",36,61,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""6/22-24/07""",32,66,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""5/4-6/07""",38,61,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""4/10-12/07""",36,62,1,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""3/9-11/07""",37,56,7,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""1/19-21/07""",34,63,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""1/11/07""",35,62,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""12/15-17/06""",36,62,2,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""12/5-7/06""",37,57,6,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""11/17-19/06""",38,59,4,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""11/3-5/06""",35,61,4,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/27-29/06""",37,58,4,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/20-22/06""",39,58,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/13-15/06""",36,61,3,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
"=""10/6-8/06""",39,56,5,,,,approval,http://www.pollingreport.com/BushJob1.htm,"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3.","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CNN/Opinion Research Corporation Poll 
