"CongJob1.htm | Question 0"
"Fox News Poll conducted by Anderson Robbins Research (D) and Shaw & Company Research (R). March 20-22, 2016. N=1,016 registered voters nationwide. Margin of error ± 3. "
"Do you approve or disapprove of the job Congress is doing?"
manually enter poll





"CongJob1.htm | Question 1"
"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3."
"Do you approve or disapprove of the way Congress is handling its job?"
date,approve,disapprove,unsure/ no answer,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""3/17-20/16""",17,75,8,1252,3,a,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""1/7-10/16""",15,75,10,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""12/4-8/15""",15,74,11,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/21-25/15""",13,75,12,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""10/4-8/15""",12,79,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""7/29 - 8/2/15""",17,74,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""5/28-31/15""",15,78,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""4/30 - 5/3/15""",12,80,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""3/21-24/15""",22,70,8,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
"=""2/13-17/15""",18,73,9,,,,approval,http://www.pollingreport.com/CongJob1.htm,"CBS News/New York Times Poll. March 17-20, 2016. N=1,252 adults nationwide. Margin of error ± 3.","""Do you approve or disapprove of the way Congress is handling its job?""",CBS News/New York Times Poll
