"bushjob2.htm | Question 0"
"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   "
"Do you approve or disapprove of the way George W. Bush is handling his job as president?"
date,approve,disapprove,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""12/4-8/08""",24,68,8,1390,3,a,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""10/31 - 11/2/08""",20,72,8,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""10/25-29/08""",22,70,8,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""10/19-22/08""",22,72,6,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""10/10-13/08""",24,66,10,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""10/3-5/08""",22,70,8,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""9/27-30/08""",22,70,8,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""9/21-24/08""",26,66,8,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""9/12-16/08""",27,68,5,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""8/15-20/08""",28,65,9,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
"=""7/31 - 8/5/08""",25,66,9,,,,approval,http://www.pollingreport.com/bushjob2.htm,"CBS News Poll. Dec. 4-8, 2008. N=1,390 adults nationwide. MoE ± 3.   ","""Do you approve or disapprove of the way George W. Bush is handling his job as president?""",CBS News Poll
