"clinton-.htm | Question 0"
"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)"
"In general, do you approve or disapprove of the job Bill Clinton is doing as president?"
date,approve,disapprove,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/13-15/01""",66,31,3,1018,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""12/7-10/00""",66,29,5,2107,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""10/00""",60,35,5,,,rv,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""9/00""",60,35,5,,,rv,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""8/10-11/00""",58,36,6,802,,rv,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""7/27-28/00""",60,35,5,1009,,rv,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""6/14-18/00""",58,37,5,1740,,rv,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""4/29 - 5/1/00""",59,35,6,1003,,rv,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""3/2-5/00""",61,33,6,1213,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""1/25-26/00""",65,30,5,1010,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""12/9-12/99""",61,34,5,2014,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""10/23-25/99""",60,34,6,1003,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""9/9-12/99""",58,37,5,2025,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""7/24-26/99""",63,32,5,1007,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""6/16-19/99""",58,37,5,2011,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
"=""4/17-19/99""",58,36,6,1006,,,approval,http://www.pollingreport.com/clinton-.htm,NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R),"""In general, do you approve or disapprove of the job Bill Clinton is doing as president?""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)
