"clinton1.htm | Question 0"
"Bloomberg Politics Poll conducted by Selzer & Company. March 19-22, 2016. N=1,000 adults nationwide. Margin of error ± 3.1."
"I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so. Bill Clinton, former president of the United States."
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""3/19-22/16""",58,36,5,1000,3,a,favorability,http://www.pollingreport.com/clinton1.htm,"Bloomberg Politics Poll conducted by Selzer & Company. March 19-22, 2016. N=1,000 adults nationwide. Margin of error ± 3.1.","""I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so. Bill Clinton, former president of the United States.""",Bloomberg Politics Poll conducted by Selzer & Company
"=""11/15-17/15""",60,34,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Bloomberg Politics Poll conducted by Selzer & Company. March 19-22, 2016. N=1,000 adults nationwide. Margin of error ± 3.1.","""I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so. Bill Clinton, former president of the United States.""",Bloomberg Politics Poll conducted by Selzer & Company
"=""4/6-8/15""",60,32,8,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Bloomberg Politics Poll conducted by Selzer & Company. March 19-22, 2016. N=1,000 adults nationwide. Margin of error ± 3.1.","""I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so. Bill Clinton, former president of the United States.""",Bloomberg Politics Poll conducted by Selzer & Company






"clinton1.htm | Question 1"
"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3."
"We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton."
date,favorable,unfavorable,no opinion,never heard of,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""2/24-27/16""",56,38,5,1,1001,3,a,favorability,http://www.pollingreport.com/clinton1.htm,"CNN/ORC Poll. Feb. 24-27, 2016. N=1,001 adults nationwide. Margin of error ± 3.","""We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. Bill Clinton.""",CNN/ORC Poll
