"cong_dem.htm | Question 0"
"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3."
"Do you approve or disapprove of the job the Democrats in Congress are doing in office?"
date,approve,disapprove,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""3/29-31/16""",36,59,6,1066,3,rv,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""10/29 - 11/4/15""",38,55,7,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""7/22-28/15""",28,60,12,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""3/1-4/15""",30,64,6,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""12/3-9/14""",27,65,9,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""9/24-29/14""",33,61,6,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""8/4-7/14""",32,59,9,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""4/7-10/14""",32,63,5,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""2/4-9/14""",33,60,7,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""12/3-5/13""",33,64,3,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
"=""7/15-18/13""",33,57,10,,,,approval,http://www.pollingreport.com/cong_dem.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Democrats in Congress are doing in office?""",McClatchy-Marist Poll
