"cong_rep.htm | Question 0"
"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3."
"Do you approve or disapprove of the job the Republicans in Congress are doing in office?"
date,approve,disapprove,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""3/29-31/16""",21,73,7,1066,3,rv,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""10/29 - 11/4/15""",23,70,7,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""7/22-28/15""",19,68,13,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""3/1-4/15""",33,61,6,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""12/3-9/14""",28,66,6,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""9/24-29/14""",24,71,5,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""8/4-7/14""",22,68,10,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""4/7-10/14""",26,69,5,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""2/4-9/14""",22,72,6,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
"=""12/3-5/13""",22,74,4,,,,approval,http://www.pollingreport.com/cong_rep.htm,"McClatchy-Marist Poll. March 29-31, 2016. N=1,066 registered voters nationwide. Margin of error ± 3.","""Do you approve or disapprove of the job the Republicans in Congress are doing in office?""",McClatchy-Marist Poll
